setting,model,source_dataset,target_dataset,mae_bpm,rmse_bpm,pearson_r,within_5bpm_percent,within_10bpm_percent
pseudo_label_adaptation,cycleformer,FTU,BGT60TR13C,11.089056673667415,11.685014836881258,-0.03924161678156374,3.776978417266187,39.02877697841727
source_only_or_within,cycleformer,FTU,BGT60TR13C,11.120271229915481,11.714811664767664,-0.06683735681333743,3.776978417266187,38.669064748201436
source_only_or_within,cycleformer_v3,FTU,BGT60TR13C,8.661650472407718,9.478001046466344,-0.060748075642614745,17.62589928057554,66.54676258992805
source_only_or_within,cycleformer_v3_small,FTU,BGT60TR13C,6.616423750952851,7.741110093081684,-0.021414704364548134,39.02877697841727,81.11510791366906
source_only_or_within,patchtst,FTU,BGT60TR13C,11.3867794695518,12.089796499621663,-0.03969488945769524,5.755395683453237,37.23021582733813
source_only_or_within,tcn,FTU,BGT60TR13C,8.850682224301126,9.733991511367828,-0.031697088107535736,17.985611510791365,62.94964028776978
source_only_or_within,timesnet,FTU,BGT60TR13C,11.009924675920884,11.769610397450036,-0.05700523867860922,7.194244604316546,39.568345323741006
source_only_or_within,transformer,FTU,BGT60TR13C,9.929172282596285,10.59411474630003,-0.030283310072834444,7.913669064748201,51.2589928057554
source_only_or_within,cycleformer,FTU,FTU,4.988687504421581,6.057785515005469,0.3347044404174352,55.39772727272727,91.9034090909091
source_only_or_within,cycleformer_v3,FTU,FTU,4.193842931227251,5.410169131515591,-0.19681072420322362,66.76136363636364,91.61931818181819
source_only_or_within,cycleformer_v3_small,FTU,FTU,3.4252702214501123,4.308171617738586,0.16575168833800324,76.8465909090909,97.72727272727273
source_only_or_within,patchtst,FTU,FTU,5.752585877071727,6.838037560307641,0.07210563777890595,48.01136363636363,86.78977272727273
source_only_or_within,tcn,FTU,FTU,3.865552793849598,4.947684548677889,0.15241534518983613,69.0340909090909,96.44886363636364
source_only_or_within,timesnet,FTU,FTU,5.143713907762007,6.340954901586206,0.08775037826648524,53.55113636363637,89.20454545454545
source_only_or_within,transformer,FTU,FTU,4.034207636659795,5.132241665108266,0.32844600226631016,66.33522727272727,95.17045454545455
pseudo_label_adaptation,cycleformer,FTU,PhysDrive,10.255565684328797,12.692813405268666,0.03265895811916875,36.155913978494624,54.973118279569896
source_only_or_within,cycleformer,FTU,PhysDrive,10.27983630600796,12.69217115083202,0.028981735740238785,35.61827956989247,55.51075268817204
source_only_or_within,cycleformer_v3,FTU,PhysDrive,10.365277249325988,12.870771055663633,-0.04944087563981238,32.795698924731184,54.435483870967744
source_only_or_within,cycleformer_v3_small,FTU,PhysDrive,11.164165096898232,13.56467786728323,0.02230624381380924,27.553763440860216,49.193548387096776
source_only_or_within,patchtst,FTU,PhysDrive,10.237539250363586,12.669443382938061,0.08919567516362152,34.543010752688176,54.03225806451613
source_only_or_within,tcn,FTU,PhysDrive,10.552204296153079,12.927876712642307,0.05573346462200853,30.107526881720432,53.494623655913976
source_only_or_within,timesnet,FTU,PhysDrive,10.50194271661902,12.908758878562656,-0.028411590965622728,30.64516129032258,51.61290322580645
source_only_or_within,transformer,FTU,PhysDrive,10.297669256887128,12.741545327464404,0.020517971248731674,34.005376344086024,54.83870967741935
