record_type,method,model,setting,source_dataset,target_dataset,split,count,mae_bpm,rmse_bpm,pearson_r,within_3bpm_percent,within_5bpm_percent,within_10bpm_percent,label_mean_bpm,pred_mean_bpm,json_path
overall,Pseudo-label Adaptation + Temporal Confidence Weighting,cycleformer,pseudo_label_adaptation,FTU,BGT60TR13C,,556,11.089056673667415,11.685014836881258,-0.03924161678156374,0.8992805755395683,3.776978417266187,39.02877697841727,83.61278048179132,72.5237238081239,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/pseudo_adaptation/cycleformer_ftu_to_bgt60tr13c/summary.json
overall,Pseudo-label Adaptation + Temporal Confidence Weighting,cycleformer,pseudo_label_adaptation,FTU,PhysDrive,,744,10.255565684328797,12.692813405268666,0.03265895811916875,17.741935483870968,36.155913978494624,54.973118279569896,73.02896617561258,72.97390177942091,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/pseudo_adaptation/cycleformer_ftu_to_physdrive/summary.json
overall,FFT,FFT,signal_baseline,,BGT60TR13C,test,556,38.11623020309339,44.65349380502843,-0.03435903178911229,1.618705035971223,3.9568345323741005,9.352517985611511,83.61278048179132,86.13702787769785,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/signal_baselines/fft_bgt60tr13c_test.json
overall,FFT,FFT,signal_baseline,,FTU,test,704,35.374126022512264,46.207678023603876,-0.16096927199100156,10.227272727272727,14.204545454545455,21.164772727272727,77.50005028464578,90.8203125,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/signal_baselines/fft_ftu_test.json
overall,FFT,FFT,signal_baseline,,PhysDrive,test,744,22.762412758283716,26.336051311436744,-0.04303755798817742,5.510752688172043,10.21505376344086,19.086021505376344,73.02896617561258,54.977318548387096,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/signal_baselines/fft_physdrive_test.json
overall,STFT,STFT,signal_baseline,,BGT60TR13C,test,556,33.24616573525847,41.72184129438052,-0.13625065625857222,1.2589928057553956,3.237410071942446,22.66187050359712,83.61278048179132,106.46357913669065,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/signal_baselines/stft_bgt60tr13c_test.json
overall,STFT,STFT,signal_baseline,,FTU,test,704,30.584914922714233,40.617689310494725,-0.25437896410468436,12.926136363636363,16.90340909090909,26.27840909090909,77.50005028464578,97.21235795454545,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/signal_baselines/stft_ftu_test.json
overall,STFT,STFT,signal_baseline,,PhysDrive,test,744,17.385437124518937,20.964779424963687,3.9907223641045626e-05,9.811827956989248,14.919354838709678,30.77956989247312,73.02896617561258,59.274193548387096,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/signal_baselines/stft_physdrive_test.json
overall,cycleformer,cycleformer,source_only_or_within,FTU,BGT60TR13C,test,556,11.120271229915481,11.714811664767664,-0.06683735681333743,0.8992805755395683,3.776978417266187,38.669064748201436,83.61278048179132,72.49250925187584,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/cycleformer_ftu_to_bgt60tr13c_test.json
overall,cycleformer,cycleformer,source_only_or_within,FTU,FTU,test,704,4.988687504421581,6.057785515005469,0.3347044404174352,36.07954545454545,55.39772727272727,91.9034090909091,77.50005028464578,72.71656705032696,/Radar_Vital_Signs/experiment_runs/cycleformer_2026-06-23/results/source_only/cycleformer_ftu_to_ftu_test.json
